timespan,s,class,n_trajectories,percentage,total
2015-2040,Control,0,6135,53.7,11417
2015-2040,Control,1,3392,29.7,11417
2015-2040,Control,2,1890,16.6,11417
2015-2040,SSP1-RCP2.6,0,3788,32.9,11502
2015-2040,SSP1-RCP2.6,1,6250,54.3,11502
2015-2040,SSP1-RCP2.6,2,1464,12.7,11502
2015-2040,SSP5-RCP8.5,0,2382,21,11337
2015-2040,SSP5-RCP8.5,1,6937,61.2,11337
2015-2040,SSP5-RCP8.5,2,2018,17.8,11337
2075-2100,Control,0,5776,49.7,11618
2075-2100,Control,1,3506,30.2,11618
2075-2100,Control,2,2336,20.1,11618
2075-2100,SSP1-RCP2.6,0,4550,40.2,11310
2075-2100,SSP1-RCP2.6,1,4989,44.1,11310
2075-2100,SSP1-RCP2.6,2,1771,15.7,11310
2075-2100,SSP5-RCP8.5,0,2257,20,11281
2075-2100,SSP5-RCP8.5,1,4885,43.3,11281
2075-2100,SSP5-RCP8.5,2,4139,36.7,11281
